;pt;standard_pt
671;hypercorticoidism;hyperadrenocorticism
672;vertebral injury;spinal column injury
673;hepatic neoplasm malignant recurrent;hepatic cancer recurrent
674;bacteria urine;bacterial test
675;biliary drainage;biliary catheter insertion
676;sperm count decreased;sperm concentration decreased
677;kaposi's varicelliform eruption;eczema herpeticum
678;pharyngolaryngeal discomfort;laryngeal discomfort
679;cardiometabolic syndrome;metabolic syndrome
680;creatine phosphokinase decreased;blood creatine phosphokinase decreased
681;application site burning;application site pain
682;thyroid gland cancer;thyroid cancer
683;proctocolitis;colitis
684;malignant tumour excision;cancer surgery
685;dyshidrosis;dyshidrotic eczema
686;foetal movements decreased;foetal hypokinesia
687;drug use for unknown indication;product used for unknown indication
688;hemicephalalgia;headache
689;foetal valproate syndrome;foetal anticonvulsant syndrome
690;chemical eye injury;chemical burns of eye
691;medication tampering;product tampering
692;electrocardiogram pq interval prolonged;electrocardiogram pr prolongation
693;psychogenic pain disorder;somatic symptom disorder
694;cognitive deterioration;cognitive disorder
695;myeloma recurrence;plasma cell myeloma recurrent
696;vomiting neonatal;infantile vomiting
697;mesenteric occlusion;mesenteric vascular occlusion
698;herpes simplex serology positive;herpes simplex test positive
699;breast prosthesis implantation;mammoplasty
700;venous stasis;peripheral venous disease
701;blood product transfusion;transfusion
702;atrioventricular block third degree;atrioventricular block complete
703;tablet issue;product physical issue
704;ileal fistula;fistula of small intestine
705;vascular stent restenosis;vascular stent stenosis
706;sicca syndrome;sjogren's syndrome
707;peripheral arthritis;arthritis
708;post gastric surgery syndrome;dumping syndrome
709;bone infection;osteomyelitis
710;out of specification product use;poor quality product administered
711;normal delivery;delivery
712;breath sounds decreased;breath sounds abnormal
713;arteriogram coronary;angiocardiogram
714;morton's neuroma;morton's neuralgia
715;postoperative hernia;incisional hernia
716;platelet aggregation;platelet aggregation test
717;drug interaction inhibition;inhibitory drug interaction
718;myopathy steroid;myopathy
719;nerve root lesion;radiculopathy
720;mycotic aneurysm;infective aneurysm
721;drug addict;drug abuser
722;intraspinal abscess;spinal cord abscess
723;cytotoxic cardiomyopathy;toxic cardiomyopathy
724;still's disease adult onset;still's disease
725;device migration;device dislocation
726;tuberculosis skin test positive;tuberculin test positive
727;cardiac pacemaker malfunction;device malfunction
728;red blood cells csf positive;csf red blood cell count positive
729;peritonitis sclerosing;encapsulating peritoneal sclerosis
730;ovarian torsion;adnexal torsion
731;peritoneal infection;peritonitis
732;drug therapy changed;therapy change
733;mental retardation severity unspecified;intellectual disability
734;pharynx discomfort;oropharyngeal discomfort
735;alpha-1 anti-trypsin deficiency;alpha-1 antitrypsin deficiency
736;skin lesion excision;skin lesion removal
737;arteriosclerosis obliterans;peripheral arterial occlusive disease
738;eye penetration;open globe injury
739;iliac artery thrombosis;peripheral artery thrombosis
740;blood cortisol abnormal;cortisol abnormal
741;optic neuritis retrobulbar;optic neuritis
742;metastases to small intestine;intestinal metastasis
743;neonatal apnoeic attack;infantile apnoea
744;fractured ischium;pelvic fracture
745;lymphohistiocytosis;haemophagocytic lymphohistiocytosis
746;renal graft loss;renal transplant failure
747;bacterial culture positive;bacterial test positive
748;feeding problem in newborn;poor feeding infant
749;prostration;fatigue
750;bacteria sputum identified;bacterial test positive
751;hepatitis b virus;hepatitis b virus test
752;erythroleukaemia;acute erythroid leukaemia
753;no adverse drug reaction;no adverse event
754;submandibular mass;mandibular mass
755;microlithiasis;lithiasis
756;vaginal erythema;vulvovaginal erythema
757;hyposideraemia;iron deficiency
758;bronchial infection;bronchitis
759;central pontine myelinolysis;osmotic demyelination syndrome
760;gastrointestinal disorder postoperative;gastrointestinal procedural complication
761;critical illness polyneuropathy;intensive care unit acquired weakness
762;simplex virus test positive;herpes simplex test positive
763;recurring skin boils;furuncle
764;vascular anomaly;vascular malformation
765;complicated migraine;migraine
766;metastases to large intestine;intestinal metastasis
767;unable to afford prescribed medication;inability to afford medication
768;intercostal retraction;use of accessory respiratory muscles
769;pubic rami fracture;pelvic fracture
770;peritoneal carcinoma;malignant peritoneal neoplasm
771;liver palpable subcostal;liver palpable
772;vocal cord neoplasm;laryngeal neoplasm
773;crackles lung;rales
774;pneumonia aspergillus;bronchopulmonary aspergillosis
775;cardiac pacemaker battery replacement;cardiac pacemaker replacement
776;allergic myocarditis;hypersensitivity myocarditis
777;renal osteodystrophy;chronic kidney disease-mineral and bone disorder
778;application site excoriation;application site erosion
779;orthopedic procedure;orthopaedic procedure
780;dissociative fugue;dissociative amnesia
781;resection of rectum;proctectomy
782;lung crepitation;rales
783;dislocation of joint prosthesis;device dislocation
784;congenital atrial septal defect;atrial septal defect
785;quadruple vessel bypass graft;coronary artery bypass
786;radicular syndrome;radiculopathy
787;analgesic asthma syndrome;aspirin-exacerbated respiratory disease
788;peripheral occlusive disease;peripheral arterial occlusive disease
789;glomerulonephritis focal;glomerulonephritis
790;periodontal infection;periodontitis
791;scintigraphy;radioisotope scan
792;lower limb deformity;limb deformity
793;hbv dna increased;hepatitis b dna increased
794;vaginismus;genito-pelvic pain/penetration disorder
795;congenital ventricular septal defect;ventricular septal defect
796;anti-hbs antibody positive;hepatitis b surface antibody positive
797;pulmonary bulla;cystic lung disease
798;renal interstitial fibrosis;kidney fibrosis
799;bereavement reaction;grief reaction
800;peroneal muscular atrophy;hereditary motor and sensory neuropathy
801;aids dementia complex;hiv-associated neurocognitive disorder
802;small intestinal bacterial overgrowth;gastrointestinal bacterial overgrowth
803;application site bruising;application site bruise
804;panic disorder with agoraphobia;panic disorder
805;increased viscosity of nasal secretion;increased viscosity of upper respiratory secretion
806;product difficult to remove;product quality issue
807;pruritus ani;anal pruritus
808;nasal sinus drainage;sinus operation
809;pacemaker complication;complication associated with device
810;leukoaraiosis;white matter lesion
811;colonic haemorrhage;large intestinal haemorrhage
812;ischaemic ulcer;ischaemic skin ulcer
813;corneal ulcer;ulcerative keratitis
814;skin bleeding;skin haemorrhage
815;positive rombergism;romberg test positive
816;aids encephalopathy;hiv-associated neurocognitive disorder
817;wrong device dispensed;device dispensing error
818;eyes sunken;lid sulcus deepened
819;colon polypectomy;large intestinal polypectomy
820;anticonvulsant toxicity;toxicity to various agents
821;mountain sickness acute;hypobarism
822;intubation complication;endotracheal intubation complication
823;in-stent arterial restenosis;vascular stent stenosis
824;behavioural and psychiatric symptoms of dementia;neuropsychiatric symptoms
825;gastrointestinal melanosis;gastrointestinal tract mucosal pigmentation
826;parvovirus b19 serology positive;parvovirus b19 test positive
827;blood amylase decreased;amylase decreased
828;denervation atrophy;neuropathic muscular atrophy
829;halitosis;breath odour
830;virus serology test positive;viral test positive
831;schamberg's disease;chronic pigmented purpura
832;mixed hyperlipidaemia;type v hyperlipidaemia
833;urobilin urine present;urobilinogen urine increased
834;subdural empyema;subdural abscess
835;ganglion;synovial cyst
836;schizophrenia, disorganised type;schizophrenia
837;capsule issue;product physical issue
838;enchondroma;enchondromatosis
839;spondylosis;spinal osteoarthritis
840;closed head injury;craniocerebral injury
841;tooth decalcification;tooth demineralisation
842;hepatitis infectious;hepatitis a
843;vaginal exfoliation;vulvovaginal exfoliation
844;gastrointestinal telangiectasia;gastrointestinal angiectasia
845;thoracostomy;chest tube insertion
846;kidney angiomyolipoma;renal hamartoma
847;av dissociation;atrioventricular dissociation
848;onychorrhexis;onychoclasis
849;night cramps;muscle spasms
850;herpes simplex ophthalmic;ophthalmic herpes simplex
851;lentigo maligna stage unspecified;lentigo maligna
852;alopecia effluvium;diffuse alopecia
853;adrenal carcinoma;adrenal gland cancer
854;superinfection lung;pneumonia
855;vaginitis;vaginal infection
856;difficult to wean from ventilator;weaning failure
857;hip swelling;joint swelling
858;arteriovenous shunt operation;arteriovenous fistula operation
859;neurilemmoma;schwannoma
860;bronchial hyperactivity;bronchial hyperreactivity
861;rhinitis seasonal;seasonal allergy
862;neurostimulator implantation;neuroprosthesis implantation
863;psychomotor agitation;psychomotor hyperactivity
864;general nutrition disorder;malnutrition
865;implantable defibrillator malfunction;device malfunction
866;arterial stenosis limb;peripheral artery stenosis
867;mandibulectomy;jaw operation
868;huntington's chorea;huntington's disease
869;cerebral hygroma;subdural hygroma
870;stools watery;diarrhoea
871;pigmented naevus;melanocytic naevus
872;urticaria localised;urticaria
873;uterine cervical squamous metaplasia;uterine cervical metaplasia
874;photosensitivity allergic reaction;photosensitivity reaction
875;candida serology positive;candida test positive
876;echography abnormal;ultrasound scan abnormal
